acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,st_level,structure_id_path
SS2/3,f2f1f0,29,12994,"Somatosensory areas, layer 2/3",453,,/997/8/567/688/695/315/453/12994/
SS4,f2f1f0,30,12995,"Somatosensory areas, layer 4",453,,/997/8/567/688/695/315/453/12995/
SS5,f2f1f0,31,12996,"Somatosensory areas, layer 5",453,,/997/8/567/688/695/315/453/12996/
SS6a,f2f1f0,32,12997,"Somatosensory areas, layer 6a",453,,/997/8/567/688/695/315/453/12997/
SS6b,f2f1f0,33,12998,"Somatosensory areas, layer 6b",453,,/997/8/567/688/695/315/453/12998/
SSp,f2f1f0,34,322,Primary somatosensory area,453,,/997/8/567/688/695/315/453/322/
SSp1,f2f1f0,35,793,"Primary somatosensory area, layer 1",322,,/997/8/567/688/695/315/453/322/793/
SSp2/3,f2f1f0,36,346,"Primary somatosensory area, layer 2/3",322,,/997/8/567/688/695/315/453/322/346/
SSp4,f2f1f0,37,865,"Primary somatosensory area, layer 4",322,,/997/8/567/688/695/315/453/322/865/
SSp5,f2f1f0,38,921,"Primary somatosensory area, layer 5",322,,/997/8/567/688/695/315/453/322/921/
SSp6a,f2f1f0,39,686,"Primary somatosensory area, layer 6a",322,,/997/8/567/688/695/315/453/322/686/
SSp6b,f2f1f0,40,719,"Primary somatosensory area, layer 6b",322,,/997/8/567/688/695/315/453/322/719/
SSp-n,f2f1f0,41,353,"Primary somatosensory area, nose",322,,/997/8/567/688/695/315/453/322/353/
SSp-n1,f2f1f0,42,558,"Primary somatosensory area, nose, layer 1",353,,/997/8/567/688/695/315/453/322/353/558/
SSp-n2/3,f2f1f0,43,838,"Primary somatosensory area, nose, layer 2/3",353,,/997/8/567/688/695/315/453/322/353/838/
SSp-n4,f2f1f0,44,654,"Primary somatosensory area, nose, layer 4",353,,/997/8/567/688/695/315/453/322/353/654/
SSp-n5,f2f1f0,45,702,"Primary somatosensory area, nose, layer 5",353,,/997/8/567/688/695/315/453/322/353/702/
SSp-n6a,f2f1f0,46,889,"Primary somatosensory area, nose, layer 6a",353,,/997/8/567/688/695/315/453/322/353/889/
SSp-n6b,f2f1f0,47,929,"Primary somatosensory area, nose, layer 6b",353,,/997/8/567/688/695/315/453/322/353/929/
SSp-bfd,f2f1f0,48,329,"Primary somatosensory area, barrel field",322,,/997/8/567/688/695/315/453/322/329/
SSp-bfd1,f2f1f0,49,981,"Primary somatosensory area, barrel field, layer 1",329,,/997/8/567/688/695/315/453/322/329/981/
SSp-bfd2/3,f2f1f0,50,201,"Primary somatosensory area, barrel field, layer 2/3",329,,/997/8/567/688/695/315/453/322/329/201/
SSp-bfd4,f2f1f0,51,1047,"Primary somatosensory area, barrel field, layer 4",329,,/997/8/567/688/695/315/453/322/329/1047/
SSp-bfd5,f2f1f0,52,1070,"Primary somatosensory area, barrel field, layer 5",329,,/997/8/567/688/695/315/453/322/329/1070/
SSp-bfd6a,f2f1f0,53,1038,"Primary somatosensory area, barrel field, layer 6a",329,,/997/8/567/688/695/315/453/322/329/1038/
SSp-bfd6b,f2f1f0,54,1062,"Primary somatosensory area, barrel field, layer 6b",329,,/997/8/567/688/695/315/453/322/329/1062/
SSp-ll,f2f1f0,55,337,"Primary somatosensory area, lower limb",322,,/997/8/567/688/695/315/453/322/337/
SSp-ll1,f2f1f0,56,1030,"Primary somatosensory area, lower limb, layer 1",337,,/997/8/567/688/695/315/453/322/337/1030/
SSp-ll2/3,f2f1f0,57,113,"Primary somatosensory area, lower limb, layer 2/3",337,,/997/8/567/688/695/315/453/322/337/113/
SSp-ll4,f2f1f0,58,1094,"Primary somatosensory area, lower limb, layer 4",337,,/997/8/567/688/695/315/453/322/337/1094/
SSp-ll5,f2f1f0,59,1128,"Primary somatosensory area, lower limb, layer 5",337,,/997/8/567/688/695/315/453/322/337/1128/
SSp-ll6a,f2f1f0,60,478,"Primary somatosensory area, lower limb, layer 6a",337,,/997/8/567/688/695/315/453/322/337/478/
SSp-ll6b,f2f1f0,61,510,"Primary somatosensory area, lower limb, layer 6b",337,,/997/8/567/688/695/315/453/322/337/510/
SSp-m,f2f1f0,62,345,"Primary somatosensory area, mouth",322,,/997/8/567/688/695/315/453/322/345/
SSp-m1,f2f1f0,63,878,"Primary somatosensory area, mouth, layer 1",345,,/997/8/567/688/695/315/453/322/345/878/
SSp-m2/3,f2f1f0,64,657,"Primary somatosensory area, mouth, layer 2/3",345,,/997/8/567/688/695/315/453/322/345/657/
SSp-m4,f2f1f0,65,950,"Primary somatosensory area, mouth, layer 4",345,,/997/8/567/688/695/315/453/322/345/950/
SSp-m5,f2f1f0,66,974,"Primary somatosensory area, mouth, layer 5",345,,/997/8/567/688/695/315/453/322/345/974/
SSp-m6a,f2f1f0,67,1102,"Primary somatosensory area, mouth, layer 6a",345,,/997/8/567/688/695/315/453/322/345/1102/
SSp-m6b,f2f1f0,68,2,"Primary somatosensory area, mouth, layer 6b",345,,/997/8/567/688/695/315/453/322/345/2/
SSp-ul,f2f1f0,69,369,"Primary somatosensory area, upper limb",322,,/997/8/567/688/695/315/453/322/369/
SSp-ul1,f2f1f0,70,450,"Primary somatosensory area, upper limb, layer 1",369,,/997/8/567/688/695/315/453/322/369/450/
SSp-ul2/3,f2f1f0,71,854,"Primary somatosensory area, upper limb, layer 2/3",369,,/997/8/567/688/695/315/453/322/369/854/
SSp-ul4,f2f1f0,72,577,"Primary somatosensory area, upper limb, layer 4",369,,/997/8/567/688/695/315/453/322/369/577/
SSp-ul5,f2f1f0,73,625,"Primary somatosensory area, upper limb, layer 5",369,,/997/8/567/688/695/315/453/322/369/625/
SSp-ul6a,f2f1f0,74,945,"Primary somatosensory area, upper limb, layer 6a",369,,/997/8/567/688/695/315/453/322/369/945/
SSp-ul6b,f2f1f0,75,1026,"Primary somatosensory area, upper limb, layer 6b",369,,/997/8/567/688/695/315/453/322/369/1026/
SSp-tr,f2f1f0,76,361,"Primary somatosensory area, trunk",322,,/997/8/567/688/695/315/453/322/361/
SSp-tr1,f2f1f0,77,1006,"Primary somatosensory area, trunk, layer 1",361,,/997/8/567/688/695/315/453/322/361/1006/
SSp-tr2/3,f2f1f0,78,670,"Primary somatosensory area, trunk, layer 2/3",361,,/997/8/567/688/695/315/453/322/361/670/
SSp-tr4,f2f1f0,79,1086,"Primary somatosensory area, trunk, layer 4",361,,/997/8/567/688/695/315/453/322/361/1086/
SSp-tr5,f2f1f0,80,1111,"Primary somatosensory area, trunk, layer 5",361,,/997/8/567/688/695/315/453/322/361/1111/
SSp-tr6a,f2f1f0,81,9,"Primary somatosensory area, trunk, layer 6a",361,,/997/8/567/688/695/315/453/322/361/9/
SSp-tr6b,f2f1f0,82,461,"Primary somatosensory area, trunk, layer 6b",361,,/997/8/567/688/695/315/453/322/361/461/
SSp-un,f2f1f0,83,182305689,"Primary somatosensory area, unassigned",322,,/997/8/567/688/695/315/453/322/182305689/
SSp-un1,f2f1f0,84,182305693,"Primary somatosensory area, unassigned, layer 1",182305689,,/997/8/567/688/695/315/453/322/182305689/182305693/
SSp-un2/3,f2f1f0,85,182305697,"Primary somatosensory area, unassigned, layer 2/3",182305689,,/997/8/567/688/695/315/453/322/182305689/182305697/
SSp-un4,f2f1f0,86,182305701,"Primary somatosensory area, unassigned, layer 4",182305689,,/997/8/567/688/695/315/453/322/182305689/182305701/
SSp-un5,f2f1f0,87,182305705,"Primary somatosensory area, unassigned, layer 5",182305689,,/997/8/567/688/695/315/453/322/182305689/182305705/
SSp-un6a,f2f1f0,88,182305709,"Primary somatosensory area, unassigned, layer 6a",182305689,,/997/8/567/688/695/315/453/322/182305689/182305709/
SSp-un6b,f2f1f0,89,182305713,"Primary somatosensory area, unassigned, layer 6b",182305689,,/997/8/567/688/695/315/453/322/182305689/182305713/
SSs,f2f1f0,90,378,Supplemental somatosensory area,453,,/997/8/567/688/695/315/453/378/
SSs1,f2f1f0,91,873,"Supplemental somatosensory area, layer 1",378,,/997/8/567/688/695/315/453/378/873/
SSs2/3,f2f1f0,92,806,"Supplemental somatosensory area, layer 2/3",378,,/997/8/567/688/695/315/453/378/806/
SSs4,f2f1f0,93,1035,"Supplemental somatosensory area, layer 4",378,,/997/8/567/688/695/315/453/378/1035/
SSs5,f2f1f0,94,1090,"Supplemental somatosensory area, layer 5",378,,/997/8/567/688/695/315/453/378/1090/
SSs6a,f2f1f0,95,862,"Supplemental somatosensory area, layer 6a",378,,/997/8/567/688/695/315/453/378/862/
SSs6b,f2f1f0,96,893,"Supplemental somatosensory area, layer 6b",378,,/997/8/567/688/695/315/453/378/893/
GU,f2f1f0,97,1057,Gustatory areas,315,,/997/8/567/688/695/315/1057/
GU1,f2f1f0,98,36,"Gustatory areas, layer 1",1057,,/997/8/567/688/695/315/1057/36/
GU2/3,f2f1f0,99,180,"Gustatory areas, layer 2/3",1057,,/997/8/567/688/695/315/1057/180/
GU4,f2f1f0,100,148,"Gustatory areas, layer 4",1057,,/997/8/567/688/695/315/1057/148/
GU5,f2f1f0,101,187,"Gustatory areas, layer 5",1057,,/997/8/567/688/695/315/1057/187/
GU6a,f2f1f0,102,638,"Gustatory areas, layer 6a",1057,,/997/8/567/688/695/315/1057/638/
GU6b,f2f1f0,103,662,"Gustatory areas, layer 6b",1057,,/997/8/567/688/695/315/1057/662/
VISC,f2f1f0,104,677,Visceral area,315,,/997/8/567/688/695/315/677/
VISC1,f2f1f0,105,897,"Visceral area, layer 1",677,,/997/8/567/688/695/315/677/897/
VISC2/3,f2f1f0,106,1106,"Visceral area, layer 2/3",677,,/997/8/567/688/695/315/677/1106/
VISC4,f2f1f0,107,1010,"Visceral area, layer 4",677,,/997/8/567/688/695/315/677/1010/
VISC5,f2f1f0,108,1058,"Visceral area, layer 5",677,,/997/8/567/688/695/315/677/1058/
VISC6a,f2f1f0,109,857,"Visceral area, layer 6a",677,,/997/8/567/688/695/315/677/857/
VISC6b,f2f1f0,110,849,"Visceral area, layer 6b",677,,/997/8/567/688/695/315/677/849/
AUD,f2f1f0,111,247,Auditory areas,315,,/997/8/567/688/695/315/247/
AUDd,f2f1f0,112,1011,Dorsal auditory area,247,,/997/8/567/688/695/315/247/1011/
AUDd1,f2f1f0,113,527,"Dorsal auditory area, layer 1",1011,,/997/8/567/688/695/315/247/1011/527/
AUDd2/3,f2f1f0,114,600,"Dorsal auditory area, layer 2/3",1011,,/997/8/567/688/695/315/247/1011/600/
AUDd4,f2f1f0,115,678,"Dorsal auditory area, layer 4",1011,,/997/8/567/688/695/315/247/1011/678/
AUDd5,f2f1f0,116,252,"Dorsal auditory area, layer 5",1011,,/997/8/567/688/695/315/247/1011/252/
AUDd6a,f2f1f0,117,156,"Dorsal auditory area, layer 6a",1011,,/997/8/567/688/695/315/247/1011/156/
AUDd6b,f2f1f0,118,243,"Dorsal auditory area, layer 6b",1011,,/997/8/567/688/695/315/247/1011/243/
AUDp,f2f1f0,119,1002,Primary auditory area,247,,/997/8/567/688/695/315/247/1002/
AUDp1,f2f1f0,120,735,"Primary auditory area, layer 1",1002,,/997/8/567/688/695/315/247/1002/735/
AUDp2/3,f2f1f0,121,251,"Primary auditory area, layer 2/3",1002,,/997/8/567/688/695/315/247/1002/251/
AUDp4,f2f1f0,122,816,"Primary auditory area, layer 4",1002,,/997/8/567/688/695/315/247/1002/816/
AUDp5,f2f1f0,123,847,"Primary auditory area, layer 5",1002,,/997/8/567/688/695/315/247/1002/847/
AUDp6a,f2f1f0,124,954,"Primary auditory area, layer 6a",1002,,/997/8/567/688/695/315/247/1002/954/
AUDp6b,f2f1f0,125,1005,"Primary auditory area, layer 6b",1002,,/997/8/567/688/695/315/247/1002/1005/
AUDpo,f2f1f0,126,1027,Posterior auditory area,247,,/997/8/567/688/695/315/247/1027/
AUDpo1,f2f1f0,127,696,"Posterior auditory area, layer 1",1027,,/997/8/567/688/695/315/247/1027/696/
AUDpo2/3,f2f1f0,128,643,"Posterior auditory area, layer 2/3",1027,,/997/8/567/688/695/315/247/1027/643/
AUDpo4,f2f1f0,129,759,"Posterior auditory area, layer 4",1027,,/997/8/567/688/695/315/247/1027/759/
AUDpo5,f2f1f0,130,791,"Posterior auditory area, layer 5",1027,,/997/8/567/688/695/315/247/1027/791/
AUDpo6a,f2f1f0,131,249,"Posterior auditory area, layer 6a",1027,,/997/8/567/688/695/315/247/1027/249/
AUDpo6b,f2f1f0,132,456,"Posterior auditory area, layer 6b",1027,,/997/8/567/688/695/315/247/1027/456/
AUDv,f2f1f0,133,1018,Ventral auditory area,247,,/997/8/567/688/695/315/247/1018/
AUDv1,f2f1f0,134,959,"Ventral auditory area, layer 1",1018,,/997/8/567/688/695/315/247/1018/959/
AUDv2/3,f2f1f0,135,755,"Ventral auditory area, layer 2/3",1018,,/997/8/567/688/695/315/247/1018/755/
AUDv4,f2f1f0,136,990,"Ventral auditory area, layer 4",1018,,/997/8/567/688/695/315/247/1018/990/
AUDv5,f2f1f0,137,1023,"Ventral auditory area, layer 5",1018,,/997/8/567/688/695/315/247/1018/1023/
AUDv6a,f2f1f0,138,520,"Ventral auditory area, layer 6a",1018,,/997/8/567/688/695/315/247/1018/520/
AUDv6b,f2f1f0,139,598,"Ventral auditory area, layer 6b",1018,,/997/8/567/688/695/315/247/1018/598/
VIS,f2f1f0,140,669,Visual areas,315,,/997/8/567/688/695/315/669/
VIS1,f2f1f0,141,801,"Visual areas, layer 1",669,,/997/8/567/688/695/315/669/801/
VIS2/3,f2f1f0,142,561,"Visual areas, layer 2/3",669,,/997/8/567/688/695/315/669/561/
VIS4,f2f1f0,143,913,"Visual areas, layer 4",669,,/997/8/567/688/695/315/669/913/
VIS5,f2f1f0,144,937,"Visual areas, layer 5",669,,/997/8/567/688/695/315/669/937/
VIS6a,f2f1f0,145,457,"Visual areas, layer 6a",669,,/997/8/567/688/695/315/669/457/
VIS6b,f2f1f0,146,497,"Visual areas, layer 6b",669,,/997/8/567/688/695/315/669/497/
VISal,f2f1f0,147,402,Anterolateral visual area,669,,/997/8/567/688/695/315/669/402/
VISal1,f2f1f0,148,1074,"Anterolateral visual area, layer 1",402,,/997/8/567/688/695/315/669/402/1074/
VISal2/3,f2f1f0,149,905,"Anterolateral visual area, layer 2/3",402,,/997/8/567/688/695/315/669/402/905/
VISal4,f2f1f0,150,1114,"Anterolateral visual area, layer 4",402,,/997/8/567/688/695/315/669/402/1114/
VISal5,f2f1f0,151,233,"Anterolateral visual area, layer 5",402,,/997/8/567/688/695/315/669/402/233/
VISal6a,f2f1f0,152,601,"Anterolateral visual area, layer 6a",402,,/997/8/567/688/695/315/669/402/601/
VISal6b,f2f1f0,153,649,"Anterolateral visual area, layer 6b",402,,/997/8/567/688/695/315/669/402/649/
VISam,f2f1f0,154,394,Anteromedial visual area,669,,/997/8/567/688/695/315/669/394/
VISam1,f2f1f0,155,281,"Anteromedial visual area, layer 1",394,,/997/8/567/688/695/315/669/394/281/
VISam2/3,f2f1f0,156,1066,"Anteromedial visual area, layer 2/3",394,,/997/8/567/688/695/315/669/394/1066/
VISam4,f2f1f0,157,401,"Anteromedial visual area, layer 4",394,,/997/8/567/688/695/315/669/394/401/
VISam5,f2f1f0,158,433,"Anteromedial visual area, layer 5",394,,/997/8/567/688/695/315/669/394/433/
VISam6a,f2f1f0,159,1046,"Anteromedial visual area, layer 6a",394,,/997/8/567/688/695/315/669/394/1046/
VISam6b,f2f1f0,160,441,"Anteromedial visual area, layer 6b",394,,/997/8/567/688/695/315/669/394/441/
VISl,f2f1f0,161,409,Lateral visual area,669,,/997/8/567/688/695/315/669/409/
VISl1,f2f1f0,162,421,"Lateral visual area, layer 1",409,,/997/8/567/688/695/315/669/409/421/
VISl23,f2f1f0,163,973,"Lateral visual area, layer 2/3",409,,/997/8/567/688/695/315/669/409/973/
VISl4,f2f1f0,164,573,"Lateral visual area, layer 4",409,,/997/8/567/688/695/315/669/409/573/
VISl5,f2f1f0,165,613,"Lateral visual area, layer 5",409,,/997/8/567/688/695/315/669/409/613/
VISl6a,f2f1f0,166,74,"Lateral visual area, layer 6a",409,,/997/8/567/688/695/315/669/409/74/
VISl6b,f2f1f0,167,121,"Lateral visual area, layer 6b",409,,/997/8/567/688/695/315/669/409/121/
VISp,f2f1f0,168,385,Primary visual area,669,,/997/8/567/688/695/315/669/385/
VISp1,f2f1f0,169,593,"Primary visual area, layer 1",385,,/997/8/567/688/695/315/669/385/593/
VISp2/3,f2f1f0,170,821,"Primary visual area, layer 2/3",385,,/997/8/567/688/695/315/669/385/821/
VISp4,f2f1f0,171,721,"Primary visual area, layer 4",385,,/997/8/567/688/695/315/669/385/721/
VISp5,f2f1f0,172,778,"Primary visual area, layer 5",385,,/997/8/567/688/695/315/669/385/778/
VISp6a,f2f1f0,173,33,"Primary visual area, layer 6a",385,,/997/8/567/688/695/315/669/385/33/
VISp6b,f2f1f0,174,305,"Primary visual area, layer 6b",385,,/997/8/567/688/695/315/669/385/305/
VISpl,f2f1f0,175,425,Posterolateral visual area,669,,/997/8/567/688/695/315/669/425/
VISpl1,f2f1f0,176,750,"Posterolateral visual area, layer 1",425,,/997/8/567/688/695/315/669/425/750/
VISpl2/3,f2f1f0,177,269,"Posterolateral visual area, layer 2/3",425,,/997/8/567/688/695/315/669/425/269/
VISpl4,f2f1f0,178,869,"Posterolateral visual area, layer 4",425,,/997/8/567/688/695/315/669/425/869/
VISpl5,f2f1f0,179,902,"Posterolateral visual area, layer 5",425,,/997/8/567/688/695/315/669/425/902/
VISpl6a,f2f1f0,180,377,"Posterolateral visual area, layer 6a",425,,/997/8/567/688/695/315/669/425/377/
VISpl6b,f2f1f0,181,393,"Posterolateral visual area, layer 6b",425,,/997/8/567/688/695/315/669/425/393/
VISpm,f2f1f0,182,533,posteromedial visual area,669,,/997/8/567/688/695/315/669/533/
VISpm1,f2f1f0,183,805,"posteromedial visual area, layer 1",533,,/997/8/567/688/695/315/669/533/805/
VISpm2/3,f2f1f0,184,41,"posteromedial visual area, layer 2/3",533,,/997/8/567/688/695/315/669/533/41/
VISpm4,f2f1f0,185,501,"posteromedial visual area, layer 4",533,,/997/8/567/688/695/315/669/533/501/
VISpm5,f2f1f0,186,565,"posteromedial visual area, layer 5",533,,/997/8/567/688/695/315/669/533/565/
VISpm6a,f2f1f0,187,257,"posteromedial visual area, layer 6a",533,,/997/8/567/688/695/315/669/533/257/
VISpm6b,f2f1f0,188,469,"posteromedial visual area, layer 6b",533,,/997/8/567/688/695/315/669/533/469/
ACA,f2f1f0,189,31,Anterior cingulate area,315,,/997/8/567/688/695/315/31/
ACA1,f2f1f0,190,572,"Anterior cingulate area, layer 1",31,,/997/8/567/688/695/315/31/572/
ACA2/3,f2f1f0,191,1053,"Anterior cingulate area, layer 2/3",31,,/997/8/567/688/695/315/31/1053/
ACA5,f2f1f0,192,739,"Anterior cingulate area, layer 5",31,,/997/8/567/688/695/315/31/739/
ACA6a,f2f1f0,193,179,"Anterior cingulate area, layer 6a",31,,/997/8/567/688/695/315/31/179/
ACA6b,f2f1f0,194,227,"Anterior cingulate area, layer 6b",31,,/997/8/567/688/695/315/31/227/
ACAd,f2f1f0,195,39,"Anterior cingulate area, dorsal part",31,,/997/8/567/688/695/315/31/39/
ACAd1,f2f1f0,196,935,"Anterior cingulate area, dorsal part, layer 1",39,,/997/8/567/688/695/315/31/39/935/
ACAd2/3,f2f1f0,197,211,"Anterior cingulate area, dorsal part, layer 2/3",39,,/997/8/567/688/695/315/31/39/211/
ACAd5,f2f1f0,198,1015,"Anterior cingulate area, dorsal part, layer 5",39,,/997/8/567/688/695/315/31/39/1015/
ACAd6a,f2f1f0,199,919,"Anterior cingulate area, dorsal part, layer 6a",39,,/997/8/567/688/695/315/31/39/919/
ACAd6b,f2f1f0,200,927,"Anterior cingulate area, dorsal part, layer 6b",39,,/997/8/567/688/695/315/31/39/927/
ACAv,f2f1f0,201,48,"Anterior cingulate area, ventral part",31,,/997/8/567/688/695/315/31/48/
ACAv1,f2f1f0,202,588,"Anterior cingulate area, ventral part, layer 1",48,,/997/8/567/688/695/315/31/48/588/
ACAv2/3,f2f1f0,203,296,"Anterior cingulate area, ventral part, layer 2/3",48,,/997/8/567/688/695/315/31/48/296/
ACAv5,f2f1f0,204,772,"Anterior cingulate area, ventral part, layer 5",48,,/997/8/567/688/695/315/31/48/772/
ACAv6a,f2f1f0,205,810,"Anterior cingulate area, ventral part, 6a",48,,/997/8/567/688/695/315/31/48/810/
ACAv6b,f2f1f0,206,819,"Anterior cingulate area, ventral part, 6b",48,,/997/8/567/688/695/315/31/48/819/
PL,f2f1f0,207,972,Prelimbic area,315,,/997/8/567/688/695/315/972/
PL1,f2f1f0,208,171,"Prelimbic area, layer 1",972,,/997/8/567/688/695/315/972/171/
PL2,f2f1f0,209,195,"Prelimbic area, layer 2",972,,/997/8/567/688/695/315/972/195/
PL2/3,f2f1f0,210,304,"Prelimbic area, layer 2/3",972,,/997/8/567/688/695/315/972/304/
PL5,f2f1f0,211,363,"Prelimbic area, layer 5",972,,/997/8/567/688/695/315/972/363/
PL6a,f2f1f0,212,84,"Prelimbic area, layer 6a",972,,/997/8/567/688/695/315/972/84/
PL6b,f2f1f0,213,132,"Prelimbic area, layer 6b",972,,/997/8/567/688/695/315/972/132/
ILA,f2f1f0,214,44,Infralimbic area,315,,/997/8/567/688/695/315/44/
ILA1,f2f1f0,215,707,"Infralimbic area, layer 1",44,,/997/8/567/688/695/315/44/707/
ILA2,f2f1f0,216,747,"Infralimbic area, layer 2",44,,/997/8/567/688/695/315/44/747/
ILA2/3,f2f1f0,217,556,"Infralimbic area, layer 2/3",44,,/997/8/567/688/695/315/44/556/
ILA5,f2f1f0,218,827,"Infralimbic area, layer 5",44,,/997/8/567/688/695/315/44/827/
ILA6a,f2f1f0,219,1054,"Infralimbic area, layer 6a",44,,/997/8/567/688/695/315/44/1054/
ILA6b,f2f1f0,220,1081,"Infralimbic area, layer 6b",44,,/997/8/567/688/695/315/44/1081/
ORB,f2f1f0,221,714,Orbital area,315,,/997/8/567/688/695/315/714/
ORB1,f2f1f0,222,264,"Orbital area, layer 1",714,,/997/8/567/688/695/315/714/264/
ORB2/3,f2f1f0,223,492,"Orbital area, layer 2/3",714,,/997/8/567/688/695/315/714/492/
ORB5,f2f1f0,224,352,"Orbital area, layer 5",714,,/997/8/567/688/695/315/714/352/
ORB6a,f2f1f0,225,476,"Orbital area, layer 6a",714,,/997/8/567/688/695/315/714/476/
ORB6b,f2f1f0,226,516,"Orbital area, layer 6b",714,,/997/8/567/688/695/315/714/516/
ORBl,f2f1f0,227,723,"Orbital area, lateral part",714,,/997/8/567/688/695/315/714/723/
ORBl1,f2f1f0,228,448,"Orbital area, lateral part, layer 1",723,,/997/8/567/688/695/315/714/723/448/
ORBl2/3,f2f1f0,229,412,"Orbital area, lateral part, layer 2/3",723,,/997/8/567/688/695/315/714/723/412/
ORBl5,f2f1f0,230,630,"Orbital area, lateral part, layer 5",723,,/997/8/567/688/695/315/714/723/630/
ORBl6a,f2f1f0,231,440,"Orbital area, lateral part, layer 6a",723,,/997/8/567/688/695/315/714/723/440/
ORBl6b,f2f1f0,232,488,"Orbital area, lateral part, layer 6b",723,,/997/8/567/688/695/315/714/723/488/
ORBm,f2f1f0,233,731,"Orbital area, medial part",714,,/997/8/567/688/695/315/714/731/
ORBm1,f2f1f0,234,484,"Orbital area, medial part, layer 1",731,,/997/8/567/688/695/315/714/731/484/
ORBm2,f2f1f0,235,524,"Orbital area, medial part, layer 2",731,,/997/8/567/688/695/315/714/731/524/
ORBm2/3,f2f1f0,236,582,"Orbital area, medial part, layer 2/3",731,,/997/8/567/688/695/315/714/731/582/
ORBm5,f2f1f0,237,620,"Orbital area, medial part, layer 5",731,,/997/8/567/688/695/315/714/731/620/
ORBm6a,f2f1f0,238,910,"Orbital area, medial part, layer 6a",731,,/997/8/567/688/695/315/714/731/910/
ORBv,f2f1f0,239,738,"Orbital area, ventral part",714,,/997/8/567/688/695/315/714/738/
ORBvl,f2f1f0,240,746,"Orbital area, ventrolateral part",714,,/997/8/567/688/695/315/714/746/
ORBvl1,f2f1f0,241,969,"Orbital area, ventrolateral part, layer 1",746,,/997/8/567/688/695/315/714/746/969/
ORBvl2/3,f2f1f0,242,288,"Orbital area, ventrolateral part, layer 2/3",746,,/997/8/567/688/695/315/714/746/288/
ORBvl5,f2f1f0,243,1125,"Orbital area, ventrolateral part, layer 5",746,,/997/8/567/688/695/315/714/746/1125/
ORBvl6a,f2f1f0,244,608,"Orbital area, ventrolateral part, layer 6a",746,,/997/8/567/688/695/315/714/746/608/
ORBvl6b,f2f1f0,245,680,"Orbital area, ventrolateral part, layer 6b",746,,/997/8/567/688/695/315/714/746/680/
AI,f2f1f0,246,95,Agranular insular area,315,,/997/8/567/688/695/315/95/
AId,f2f1f0,247,104,"Agranular insular area, dorsal part",95,,/997/8/567/688/695/315/95/104/
